Video ID,Comment ID,comments
EqzUcMzfV1w,UgzxoeO6Eewxa0yaAeR4AaABAg,Amazing  content    I  loved  the  fact  that  you  explained  what  each  thing  was    so  that  even  someone  who  is  brand  new  to  web  dev  can  make  notes  and  follow  along    I  love  the  centralized  information  like  this    Thank  you  for  your  hard  work  
EqzUcMzfV1w,UgxkxRNzdANCAuPBfAJ4AaABAg,This  is  the  most  helpful  yearly  guide  I  have  ever  come  across    Thanks  Brad    for  creating  content  of  this  quality  it  is  greatly  appreciated  
EqzUcMzfV1w,UgwArFTFyEoqGfIPb0p4AaABAg,For  somone  who  hasn't  programmed  for  fifteen  years    and  is  orienting  again    this  is  very  informative    So  much  to  choose  from    Thanks      I  think  you  didn't  mention  Java    Why  is  that  
EqzUcMzfV1w,Ugwiv6V9tIe0tPaR-cF4AaABAg,Another  great  presentation  from  one  of  the  best  I  have  seen  in  this  industry    Thanks  Brad  
EqzUcMzfV1w,Ugx4ORP4Ui5tTTz82m54AaABAg,This  guide  is  so  comprehensible  and  comprehensive    I  would  suggest  this  video  to  any  project  manager  or  middle  management  who  need  a    bluffer's  guide    to  web  development  
EqzUcMzfV1w,UgzfZkVftDRGYFllWSZ4AaABAg,Thanks    Brad        that's  an  awesome  overview    Really  useful      well  explained  
EqzUcMzfV1w,Ugylub2ViQlDqpIV0gd4AaABAg,Wow  what  a  tour  de  force  overview  of  web  technology  Brad's  video  is    On  the  other  hand    25    years  after  the  web  was  born    what  an  overwhelmingly  complicated  and  unmitigated  cluster  fuck  of  technology  the  web  has  become  and  continues  to  be    I  cannot  imagine  what  a  daunting  task  it  would  be  for  someone  starting  out  in  the  industry  today  to    master        any    of  the  complete  paths  from  core  concepts  to  a  single  front  end  and  a  single  compatible  back  end  that  actually  delivers  a  bug  free  website    not  to  mention  learning  networking    security    UI  principles    mobile    SEO    databases    not  to  mention  the  business  of  being  in  the  web  design  and  programming  business    No  wonder  40    of  the  web  is  built  on  Wordpress  
EqzUcMzfV1w,UgxQ8PpekZ-xoJ22g0d4AaABAg,I  was  so  glad  to  see  this  as  my  first  video  as  soon  as  I  opened  YouTube    Even  YouTube  know  what  has  been  the  best  part  of  my  2021          and  was  equally  glad  to  see  Brad's  tweet  early  morning        Oh  my  god  such  a  nostalgic  feeling  on  this  video    2021's  guide  has  been  such  a  guide  to  me  in  low  days  of  my  life  where  I  was  blank    All  thanks  and  wishes  to  you    Brad    You're  an  amazing  human  being    I  wish  you  and  your  loved  ones  a  very  happy  and  healthy  2022  
EqzUcMzfV1w,Ugw86QffAJ-bMrD0VLZ4AaABAg,I  always  look  forward  to  this    It's  interesting  to  see  how  things  have  changed  in  web  development  
EqzUcMzfV1w,UgwCN2xR2JHjUUyXOQ14AaABAg,Excellent  overview  of  FE  BE      FS  development    very  informative  for  someone  starting  in  the  industry
EqzUcMzfV1w,Ugxf6UxlMdztsAlcWNF4AaABAg,Feel  like  PostCSS  will  become  the  new  Sass  because  of  how  it  is  used  with  Tailwind    it  may  be  included  by  default  in  a  ton  of  new  projects  in  2022    And  personally    I  love  Tailwind  but  I'm  not  a  fan  of  having  all  that  classes  in  my  HTML  code    even  in  my  React  components  so  I  use  the    apply  a  lot        and  organize  my  PostCSS  with  plugins  like      postcss  import  and  tailwindcss  nesting
